iter	RMSE
0	0.8257916788
1	0.802296252
2	0.7805186514
3	0.7592211939
4	0.7404576881
5	0.7208616841
6	0.7021045872
7	0.6831598196
8	0.6652450944
9	0.6492049168
10	0.6332050715
11	0.6183115677
12	0.6029230643
13	0.5890453208
14	0.5760347249
15	0.563580006
16	0.5510838467
17	0.539682942
18	0.5267235162
19	0.5151689884
20	0.5034357268
21	0.49194096
22	0.4823043926
23	0.4717703884
24	0.4619530503
25	0.4521718691
26	0.4431807483
27	0.4339472703
28	0.4265597489
29	0.4181279515
30	0.4105041412
31	0.4031782307
32	0.3953627739
33	0.3877466853
34	0.380716324
35	0.3740249921
36	0.3684670063
37	0.3620912275
38	0.3559665252
39	0.3502938383
40	0.3444950808
41	0.3400631009
42	0.3355310008
43	0.3304187855
44	0.3260797116
45	0.321490663
46	0.3166753403
47	0.3125168712
48	0.3090481082
49	0.3053351739
50	0.3016613503
51	0.2982962194
52	0.2944680896
53	0.2909913134
54	0.2880788055
55	0.2844237199
56	0.2813952691
57	0.2782903241
58	0.2750692449
59	0.2721638386
60	0.2692636137
61	0.2667557132
62	0.2640625529
63	0.2613465962
64	0.2593321002
65	0.2565045888
66	0.253881372
67	0.2514953449
68	0.2490363473
69	0.2466229101
70	0.2443641947
71	0.2424483699
72	0.2403981908
73	0.2380263961
74	0.2362547093
75	0.2342340769
76	0.2324957545
77	0.2308706389
78	0.2289678676
79	0.227335337
80	0.2256135252
81	0.2239865774
82	0.2222839155
83	0.2207141536
84	0.2191214307
85	0.217415032
86	0.2158127427
87	0.2143667225
88	0.2128039096
89	0.2114721655
90	0.2100671351
91	0.2087819716
92	0.2075611843
93	0.2064915881
94	0.2055649488
95	0.2042920378
96	0.2033947841
97	0.2022709209
98	0.2012116703
99	0.2000502759
100	0.1991417524
101	0.1982909337
102	0.1971561392
103	0.1961084413
104	0.1951659112
105	0.194317592
106	0.1936253107
107	0.1926740273
108	0.1917805985
109	0.1909426742
110	0.1901805663
111	0.189364893
112	0.188818785
113	0.1876360608
114	0.1865461423
115	0.1857763529
116	0.1847992662
117	0.1839219355
118	0.1832254161
119	0.1825595606
120	0.182027285
121	0.1813340937
122	0.1805476072
123	0.1796924276
124	0.1789015483
125	0.1781570658
126	0.1772492922
127	0.1766748254
128	0.1760608321
129	0.1754616692
130	0.1745254028
131	0.1740465559
132	0.1735305457
133	0.1728173532
134	0.1720683273
135	0.171406333
136	0.1708611758
137	0.170190338
138	0.1696548141
139	0.1692858815
140	0.1688730189
141	0.1680476488
142	0.1675907079
143	0.1669966048
144	0.1662822376
145	0.1655362039
146	0.165115609
147	0.1645278909
148	0.1638291772
149	0.163357869
150	0.1628000171
151	0.1621919913
152	0.1617023968
153	0.1613782774
154	0.1610183093
155	0.1605735789
156	0.1601690084
157	0.1596503438
158	0.1591343186
159	0.1586152396
160	0.1580188996
161	0.1576643595
162	0.1571324648
163	0.1566882566
164	0.1563856864
165	0.1558686981
166	0.1553661214
167	0.1549005105
168	0.1545186754
169	0.1541587351
170	0.1537680045
171	0.1532644699
172	0.1527115875
173	0.1522730041
174	0.1518087411
175	0.1512846648
176	0.1507727659
177	0.1504946348
178	0.1501172231
179	0.1498670396
180	0.1494409374
